更新时间,#genre#
viutv6 96,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8
東森新聞,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
Animax(HK),http://aktv.top/AKTV/live/aktv3/animaxhk/AKTV.m3u8
Astro AEC,http://aktv.top/AKTV/live/aktv3/astroaec/AKTV.m3u8
Astro AOD,http://aktv.top/AKTV/live/aktv3/astroaod/AKTV.m3u8
Astro iQIYI,http://aktv.top/AKTV/live/aktv3/astroiqiyi/AKTV.m3u8
Astro QJ,http://aktv.top/AKTV/live/aktv3/astroqj/AKTV.m3u8
Astro Xing He,http://aktv.top/AKTV/live/aktv3/astroxinghe/AKTV.m3u8
DW,http://aktv.top/AKTV/live/aktv3/dw/AKTV.m3u8
France 24,http://aktv.top/AKTV/live/aktv3/france24/AKTV.m3u8
KIX,http://aktv.top/AKTV/live/aktv3/kix/AKTV.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv3/lovenaturehd/AKTV.m3u8
NHK World-Japan,http://aktv.top/AKTV/live/aktv3/nhkworldjapan/AKTV.m3u8
NHK東京総合,http://aktv.top/AKTV/live/aktv3/nhk/AKTV.m3u8
Nick Jr,http://aktv.top/AKTV/live/aktv3/nickjr/AKTV.m3u8
Nickelodeon,http://aktv.top/AKTV/live/aktv3/nickelodeon/AKTV.m3u8
Thrill,http://aktv.top/AKTV/live/aktv3/thrill/AKTV.m3u8
ZooMoo,http://aktv.top/AKTV/live/aktv3/zoomoo/AKTV.m3u8
亞洲新聞台,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8
東方衛視國際頻道,http://aktv.top/AKTV/live/aktv3/null/AKTV.m3u8
無線衛星新聞台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8
翡翠台4K,http://aktv.top/AKTV/live/aktv3/4k/AKTV.m3u

广东移动,#genre#
汕头综合(CMCC),http://192.168.31.254:7088/udp/239.21.0.101:3744
汕头经济生活(CMCC),http://192.168.31.254:7088/udp/239.21.0.102:3748
汕头文旅体育(CMCC),http://192.168.31.254:7088/udp/239.21.0.103:3752
潮州民生(CMCC),http://192.168.31.254:7088/udp/239.21.0.146:3928
潮州综合(CMCC),http://192.168.31.254:7088/udp/239.21.0.145:3924
揭阳文化生活(CMCC),http://192.168.31.254:7088/udp/239.21.0.92:3708
揭阳综合(CMCC),http://192.168.31.254:7088/udp/239.21.0.91:3704
CCTV1(CMCC),http://192.168.31.254:7088/udp/239.10.0.114:1025
CCTV2(CMCC),http://192.168.31.254:7088/udp/239.20.0.197:2192
CCTV3(CMCC),http://192.168.31.254:7088/udp/239.20.0.28:3292
CCTV4(CMCC),http://192.168.31.254:7088/udp/239.10.0.245:1025
CCTV5(CMCC),http://192.168.31.254:7088/udp/239.10.0.102:1025
CCTV5+(CMCC),http://192.168.31.254:7088/udp/239.10.0.213:1025
CCTV6(CMCC),http://192.168.31.254:7088/udp/239.10.0.103:1025
CCTV7(CMCC),http://192.168.31.254:7088/udp/239.20.0.198:2194
CCTV8(CMCC),http://192.168.31.254:7088/udp/239.10.0.104:1025
CCTV9(CMCC),http://192.168.31.254:7088/udp/239.10.0.209:1025
CCTV10(CMCC),http://192.168.31.254:7088/udp/239.10.0.210:1025
CCTV11(CMCC),http://192.168.31.254:7088/udp/239.11.0.24:1025
CCTV12(CMCC),http://192.168.31.254:7088/udp/239.10.0.211:1025
CCTV13(CMCC),http://192.168.31.254:7088/udp/239.10.0.198:1025
CCTV14(CMCC),http://192.168.31.254:7088/udp/239.10.0.212:1025
CCTV15(CMCC),http://192.168.31.254:7088/udp/239.11.0.25:1025
CCTV16(CMCC),http://192.168.31.254:7088/udp/239.11.0.126:1025
CCTV17(CMCC),http://192.168.31.254:7088/udp/239.10.0.244:1025
CETV-1(CMCC),http://192.168.31.254:7088/udp/239.10.0.223:1025
CETV-2(CMCC),http://192.168.31.254:7088/udp/239.11.0.35:1025
CETV-4(CMCC),http://192.168.31.254:7088/udp/239.11.0.36:1025
CGTN英语(CMCC),http://192.168.31.254:7088/udp/239.11.0.103:1025
CGTN 英文记录(CMCC),http://192.168.31.254:7088/udp/239.11.0.104:1025
CGTN西班牙语(CMCC),http://192.168.31.254:7088/udp/239.11.0.105:1025
CGTN法语(CMCC),http://192.168.31.254:7088/udp/239.11.0.106:1025
CGTN阿拉伯语(CMCC),http://192.168.31.254:7088/udp/239.11.0.107:1025
CGTN俄语(CMCC),http://192.168.31.254:7088/udp/239.11.0.107:1025
兵器科技(CMCC),http://192.168.31.254:7088/udp/239.11.0.57:1025
第一剧场(CMCC),http://192.168.31.254:7088/udp/239.11.0.67:1025
电视指南(CMCC),http://192.168.31.254:7088/udp/239.11.0.58:1025
风云剧场(CMCC),http://192.168.31.254:7088/udp/239.11.0.65:1025
风云音乐(CMCC),http://192.168.31.254:7088/udp/239.11.0.68:1025
风云足球(CMCC),http://192.168.31.254:7088/udp/239.11.0.59:1025
高尔夫·网球(CMCC),http://192.168.31.254:7088/udp/239.11.0.61:1025
怀旧剧场(CMCC),http://192.168.31.254:7088/udp/239.11.0.64:1025
女性时尚(CMCC),http://192.168.31.254:7088/udp/239.11.0.62:1025
世界地理(CMCC),http://192.168.31.254:7088/udp/239.11.0.63:1025
央视台球(CMCC),http://192.168.31.254:7088/udp/239.11.0.60:1025
央视文化精品(CMCC),http://192.168.31.254:7088/udp/239.11.0.66:1025
浙江卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.179:1025
江苏卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.180:1025
湖南卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.49:1025
北京卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.131:1025
广东卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.111:1025
深圳卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.132:1025
安徽卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.203:1025
兵团卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.170:1025
东方卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.183:1025
东南卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.77:1025
甘肃卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.169:1025
广西卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.246:1025
贵州卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.222:1025
海南卫视(CMCC),http://192.168.31.254:7088/udp/239.11.0.172:1025
河北卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.79:1025
河南卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.154:1025
黑龙江卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.133:1025
湖北卫视(CMCC),http://192.168.31.254:7088/udp/239.20.0.124:2046
吉林卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.81:1025
江西卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.80:1025
辽宁卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.185:1025
内蒙古卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.163:1025
宁夏卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.166:1025
青海卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.164:1025
厦门卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.178:1025
山东教育卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.176:1025
山东卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.182:1025
山西卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.162:1025
陕西卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.161:1025
四川卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.204:1025
天津卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.181:1025
西藏卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.167:1025
新疆卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.168:1025
延边卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.140:1025
云南卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.155:1025
重庆卫视(CMCC),http://192.168.31.254:7088/udp/239.10.0.205:1025
大湾区卫视(CMCC),http://192.168.31.254:7088/udp/239.11.0.78:1025
广东民生(CMCC),http://192.168.31.254:7088/udp/239.11.0.80:1025
广东经济科教(CMCC),http://192.168.31.254:7088/udp/239.10.0.112:1025
广东少儿(CMCC),http://192.168.31.254:7088/udp/239.11.0.81:1025
广东新闻(CMCC),http://192.168.31.254:7088/udp/239.10.0.199:1025
移动频道(CMCC),http://192.168.31.254:7088/udp/239.10.0.143:1025
广东影视(CMCC),http://192.168.31.254:7088/udp/239.11.0.79:1025
广东珠江(CMCC),http://192.168.31.254:7088/udp/239.10.0.63:1025
